embedding_filename,chunk_filename,chunk_id,section_count,word_count,act_name,dimension
crpc_chunk_0.npy,crpc_chunk_0.txt,0,13,490,"Code of Criminal Procedure, 1898",384
crpc_chunk_1.npy,crpc_chunk_1.txt,1,17,459,"Code of Criminal Procedure, 1898",384
crpc_chunk_2.npy,crpc_chunk_2.txt,2,17,487,"Code of Criminal Procedure, 1898",384
crpc_chunk_3.npy,crpc_chunk_3.txt,3,18,488,"Code of Criminal Procedure, 1898",384
crpc_chunk_4.npy,crpc_chunk_4.txt,4,10,485,"Code of Criminal Procedure, 1898",384
crpc_chunk_5.npy,crpc_chunk_5.txt,5,16,457,"Code of Criminal Procedure, 1898",384
crpc_chunk_6.npy,crpc_chunk_6.txt,6,17,485,"Code of Criminal Procedure, 1898",384
crpc_chunk_7.npy,crpc_chunk_7.txt,7,14,500,"Code of Criminal Procedure, 1898",384
crpc_chunk_8.npy,crpc_chunk_8.txt,8,18,500,"Code of Criminal Procedure, 1898",384
crpc_chunk_9.npy,crpc_chunk_9.txt,9,16,495,"Code of Criminal Procedure, 1898",384
crpc_chunk_10.npy,crpc_chunk_10.txt,10,18,487,"Code of Criminal Procedure, 1898",384
crpc_chunk_11.npy,crpc_chunk_11.txt,11,16,489,"Code of Criminal Procedure, 1898",384
crpc_chunk_12.npy,crpc_chunk_12.txt,12,15,494,"Code of Criminal Procedure, 1898",384
crpc_chunk_13.npy,crpc_chunk_13.txt,13,15,476,"Code of Criminal Procedure, 1898",384
crpc_chunk_14.npy,crpc_chunk_14.txt,14,18,500,"Code of Criminal Procedure, 1898",384
crpc_chunk_15.npy,crpc_chunk_15.txt,15,19,482,"Code of Criminal Procedure, 1898",384
crpc_chunk_16.npy,crpc_chunk_16.txt,16,19,497,"Code of Criminal Procedure, 1898",384
crpc_chunk_17.npy,crpc_chunk_17.txt,17,11,498,"Code of Criminal Procedure, 1898",384
crpc_chunk_18.npy,crpc_chunk_18.txt,18,19,484,"Code of Criminal Procedure, 1898",384
crpc_chunk_19.npy,crpc_chunk_19.txt,19,14,470,"Code of Criminal Procedure, 1898",384
crpc_chunk_20.npy,crpc_chunk_20.txt,20,18,483,"Code of Criminal Procedure, 1898",384
crpc_chunk_21.npy,crpc_chunk_21.txt,21,16,482,"Code of Criminal Procedure, 1898",384
crpc_chunk_22.npy,crpc_chunk_22.txt,22,20,491,"Code of Criminal Procedure, 1898",384
crpc_chunk_23.npy,crpc_chunk_23.txt,23,18,481,"Code of Criminal Procedure, 1898",384
crpc_chunk_24.npy,crpc_chunk_24.txt,24,17,495,"Code of Criminal Procedure, 1898",384
crpc_chunk_25.npy,crpc_chunk_25.txt,25,17,473,"Code of Criminal Procedure, 1898",384
crpc_chunk_26.npy,crpc_chunk_26.txt,26,16,475,"Code of Criminal Procedure, 1898",384
crpc_chunk_27.npy,crpc_chunk_27.txt,27,18,487,"Code of Criminal Procedure, 1898",384
crpc_chunk_28.npy,crpc_chunk_28.txt,28,16,476,"Code of Criminal Procedure, 1898",384
crpc_chunk_29.npy,crpc_chunk_29.txt,29,17,480,"Code of Criminal Procedure, 1898",384
