chunk_filename,chunk_id,sections_included,section_count,original_files,word_count,act_name
crpc_chunk_0.txt,0,"1,2,3,4,5,6,7,8,9,10,11,12,13",13,"crpc_section_1.txt,crpc_section_2.txt,crpc_section_3.txt,crpc_section_4.txt,crpc_section_5.txt,crpc_section_6.txt,crpc_section_7.txt,crpc_section_8.txt,crpc_section_9.txt,crpc_section_10.txt,crpc_section_11.txt,crpc_section_12.txt,crpc_section_13.txt",490,"Code of Criminal Procedure, 1898"
crpc_chunk_1.txt,1,"15,16,17,22,22A,22B,25,28,29,29A,29B,30,31,32,33,34,34A",17,"crpc_section_15.txt,crpc_section_16.txt,crpc_section_17.txt,crpc_section_22.txt,crpc_section_22A.txt,crpc_section_22B.txt,crpc_section_25.txt,crpc_section_28.txt,crpc_section_29.txt,crpc_section_29A.txt,crpc_section_29B.txt,crpc_section_30.txt,crpc_section_31.txt,crpc_section_32.txt,crpc_section_33.txt,crpc_section_34.txt,crpc_section_34A.txt",459,"Code of Criminal Procedure, 1898"
crpc_chunk_2.txt,2,"35,36,37,38,39,40,41,43,44,45,46,47,48,49,50,51,52",17,"crpc_section_35.txt,crpc_section_36.txt,crpc_section_37.txt,crpc_section_38.txt,crpc_section_39.txt,crpc_section_40.txt,crpc_section_41.txt,crpc_section_43.txt,crpc_section_44.txt,crpc_section_45.txt,crpc_section_46.txt,crpc_section_47.txt,crpc_section_48.txt,crpc_section_49.txt,crpc_section_50.txt,crpc_section_51.txt,crpc_section_52.txt",487,"Code of Criminal Procedure, 1898"
crpc_chunk_3.txt,3,"53,53A,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69",18,"crpc_section_53.txt,crpc_section_53A.txt,crpc_section_54.txt,crpc_section_55.txt,crpc_section_56.txt,crpc_section_57.txt,crpc_section_58.txt,crpc_section_59.txt,crpc_section_60.txt,crpc_section_61.txt,crpc_section_62.txt,crpc_section_63.txt,crpc_section_64.txt,crpc_section_65.txt,crpc_section_66.txt,crpc_section_67.txt,crpc_section_68.txt,crpc_section_69.txt",488,"Code of Criminal Procedure, 1898"
crpc_chunk_4.txt,4,"70,71,72,73,75,76,77,78,79,80",10,"crpc_section_70.txt,crpc_section_71.txt,crpc_section_72.txt,crpc_section_73.txt,crpc_section_75.txt,crpc_section_76.txt,crpc_section_77.txt,crpc_section_78.txt,crpc_section_79.txt,crpc_section_80.txt",485,"Code of Criminal Procedure, 1898"
crpc_chunk_5.txt,5,"81,82,83,84,85,86,86A,87,88,89,90,91,92,93,93A,93B",16,"crpc_section_81.txt,crpc_section_82.txt,crpc_section_83.txt,crpc_section_84.txt,crpc_section_85.txt,crpc_section_86.txt,crpc_section_86A.txt,crpc_section_87.txt,crpc_section_88.txt,crpc_section_89.txt,crpc_section_90.txt,crpc_section_91.txt,crpc_section_92.txt,crpc_section_93.txt,crpc_section_93A.txt,crpc_section_93B.txt",457,"Code of Criminal Procedure, 1898"
crpc_chunk_6.txt,6,"93C,94,95,96,97,98,99,99A,99C,99D,99E,99F,99G,100,101,102,103",17,"crpc_section_93C.txt,crpc_section_94.txt,crpc_section_95.txt,crpc_section_96.txt,crpc_section_97.txt,crpc_section_98.txt,crpc_section_99.txt,crpc_section_99A.txt,crpc_section_99C.txt,crpc_section_99D.txt,crpc_section_99E.txt,crpc_section_99F.txt,crpc_section_99G.txt,crpc_section_100.txt,crpc_section_101.txt,crpc_section_102.txt,crpc_section_103.txt",485,"Code of Criminal Procedure, 1898"
crpc_chunk_7.txt,7,"104,105,106,107,108,109,110,111,112,113,114,115,116,117",14,"crpc_section_104.txt,crpc_section_105.txt,crpc_section_106.txt,crpc_section_107.txt,crpc_section_108.txt,crpc_section_109.txt,crpc_section_110.txt,crpc_section_111.txt,crpc_section_112.txt,crpc_section_113.txt,crpc_section_114.txt,crpc_section_115.txt,crpc_section_116.txt,crpc_section_117.txt",500,"Code of Criminal Procedure, 1898"
crpc_chunk_8.txt,8,"118,119,120,121,122,123,124,126,126A,127,128,129,130,131,131A,132,132A,133",18,"crpc_section_118.txt,crpc_section_119.txt,crpc_section_120.txt,crpc_section_121.txt,crpc_section_122.txt,crpc_section_123.txt,crpc_section_124.txt,crpc_section_126.txt,crpc_section_126A.txt,crpc_section_127.txt,crpc_section_128.txt,crpc_section_129.txt,crpc_section_130.txt,crpc_section_131.txt,crpc_section_131A.txt,crpc_section_132.txt,crpc_section_132A.txt,crpc_section_133.txt",500,"Code of Criminal Procedure, 1898"
crpc_chunk_9.txt,9,"134,135,136,137,138,139,139A,140,141,142,143,144,145,146,147,148",16,"crpc_section_134.txt,crpc_section_135.txt,crpc_section_136.txt,crpc_section_137.txt,crpc_section_138.txt,crpc_section_139.txt,crpc_section_139A.txt,crpc_section_140.txt,crpc_section_141.txt,crpc_section_142.txt,crpc_section_143.txt,crpc_section_144.txt,crpc_section_145.txt,crpc_section_146.txt,crpc_section_147.txt,crpc_section_148.txt",495,"Code of Criminal Procedure, 1898"
crpc_chunk_10.txt,10,"149,150,151,153,154,155,156,156A,156B,157,158,159,160,161,161A,162,163,164",18,"crpc_section_149.txt,crpc_section_150.txt,crpc_section_151.txt,crpc_section_153.txt,crpc_section_154.txt,crpc_section_155.txt,crpc_section_156.txt,crpc_section_156A.txt,crpc_section_156B.txt,crpc_section_157.txt,crpc_section_158.txt,crpc_section_159.txt,crpc_section_160.txt,crpc_section_161.txt,crpc_section_161A.txt,crpc_section_162.txt,crpc_section_163.txt,crpc_section_164.txt",487,"Code of Criminal Procedure, 1898"
crpc_chunk_11.txt,11,"164A,164B,165,166,167,168,169,170,171,172,173,174,175,176,177,179",16,"crpc_section_164A.txt,crpc_section_164B.txt,crpc_section_165.txt,crpc_section_166.txt,crpc_section_167.txt,crpc_section_168.txt,crpc_section_169.txt,crpc_section_170.txt,crpc_section_171.txt,crpc_section_172.txt,crpc_section_173.txt,crpc_section_174.txt,crpc_section_175.txt,crpc_section_176.txt,crpc_section_177.txt,crpc_section_179.txt",489,"Code of Criminal Procedure, 1898"
crpc_chunk_12.txt,12,"181,182,183,184,185,186,187,188,189,190,191,192,193,194,195",15,"crpc_section_181.txt,crpc_section_182.txt,crpc_section_183.txt,crpc_section_184.txt,crpc_section_185.txt,crpc_section_186.txt,crpc_section_187.txt,crpc_section_188.txt,crpc_section_189.txt,crpc_section_190.txt,crpc_section_191.txt,crpc_section_192.txt,crpc_section_193.txt,crpc_section_194.txt,crpc_section_195.txt",494,"Code of Criminal Procedure, 1898"
crpc_chunk_13.txt,13,"196,196A,196B,197,198,198A,199,199A,199B,200,201,202,203,205,221",15,"crpc_section_196.txt,crpc_section_196A.txt,crpc_section_196B.txt,crpc_section_197.txt,crpc_section_198.txt,crpc_section_198A.txt,crpc_section_199.txt,crpc_section_199A.txt,crpc_section_199B.txt,crpc_section_200.txt,crpc_section_201.txt,crpc_section_202.txt,crpc_section_203.txt,crpc_section_205.txt,crpc_section_221.txt",476,"Code of Criminal Procedure, 1898"
crpc_chunk_14.txt,14,"222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239",18,"crpc_section_222.txt,crpc_section_223.txt,crpc_section_224.txt,crpc_section_225.txt,crpc_section_226.txt,crpc_section_227.txt,crpc_section_228.txt,crpc_section_229.txt,crpc_section_230.txt,crpc_section_231.txt,crpc_section_232.txt,crpc_section_233.txt,crpc_section_234.txt,crpc_section_235.txt,crpc_section_236.txt,crpc_section_237.txt,crpc_section_238.txt,crpc_section_239.txt",500,"Code of Criminal Procedure, 1898"
crpc_chunk_15.txt,15,"241,241A,242,243,244,244A,245,245A,246,247,249,249A,250,260,261,262,263,264,265",19,"crpc_section_241.txt,crpc_section_241A.txt,crpc_section_242.txt,crpc_section_243.txt,crpc_section_244.txt,crpc_section_244A.txt,crpc_section_245.txt,crpc_section_245A.txt,crpc_section_246.txt,crpc_section_247.txt,crpc_section_249.txt,crpc_section_249A.txt,crpc_section_250.txt,crpc_section_260.txt,crpc_section_261.txt,crpc_section_262.txt,crpc_section_263.txt,crpc_section_264.txt,crpc_section_265.txt",482,"Code of Criminal Procedure, 1898"
crpc_chunk_16.txt,16,"265A,265B,265C,265D,265E,265F,265G,265H,265I,265J,265K,265L,265M,265N,337,338,339,339A,340",19,"crpc_section_265A.txt,crpc_section_265B.txt,crpc_section_265C.txt,crpc_section_265D.txt,crpc_section_265E.txt,crpc_section_265F.txt,crpc_section_265G.txt,crpc_section_265H.txt,crpc_section_265I.txt,crpc_section_265J.txt,crpc_section_265K.txt,crpc_section_265L.txt,crpc_section_265M.txt,crpc_section_265N.txt,crpc_section_337.txt,crpc_section_338.txt,crpc_section_339.txt,crpc_section_339A.txt,crpc_section_340.txt",497,"Code of Criminal Procedure, 1898"
crpc_chunk_17.txt,17,"341,342,344,344A,345,346,347,348,349,350,350A",11,"crpc_section_341.txt,crpc_section_342.txt,crpc_section_344.txt,crpc_section_344A.txt,crpc_section_345.txt,crpc_section_346.txt,crpc_section_347.txt,crpc_section_348.txt,crpc_section_349.txt,crpc_section_350.txt,crpc_section_350A.txt",498,"Code of Criminal Procedure, 1898"
crpc_chunk_18.txt,18,"351,352,353,354,355,357,358,359,360,361,362,363,364,365,366,367,368,369,370",19,"crpc_section_351.txt,crpc_section_352.txt,crpc_section_353.txt,crpc_section_354.txt,crpc_section_355.txt,crpc_section_357.txt,crpc_section_358.txt,crpc_section_359.txt,crpc_section_360.txt,crpc_section_361.txt,crpc_section_362.txt,crpc_section_363.txt,crpc_section_364.txt,crpc_section_365.txt,crpc_section_366.txt,crpc_section_367.txt,crpc_section_368.txt,crpc_section_369.txt,crpc_section_370.txt",484,"Code of Criminal Procedure, 1898"
crpc_chunk_19.txt,19,"371,372,373,374,375,376,377,378,379,380,381,382,382A,382B",14,"crpc_section_371.txt,crpc_section_372.txt,crpc_section_373.txt,crpc_section_374.txt,crpc_section_375.txt,crpc_section_376.txt,crpc_section_377.txt,crpc_section_378.txt,crpc_section_379.txt,crpc_section_380.txt,crpc_section_381.txt,crpc_section_382.txt,crpc_section_382A.txt,crpc_section_382B.txt",470,"Code of Criminal Procedure, 1898"
